{703, 0.338971}
{704, 0.338949}
{705, 0.338949}
{706, 0.338948}
{707, 0.338947}
{708, 0.338944}
{709, 0.338941}
{710, 0.338938}
{711, 0.338934}
{712, 0.338933}
{713, 0.338932}
{714, 0.338931}
{715, 0.338930}
{716, 0.338921}
{717, 0.338918}
{718, 0.338916}
{719, 0.338914}
{720, 0.338913}
{721, 0.338905}
{722, 0.338904}
{723, 0.338901}
{724, 0.338901}
{725, 0.338901}
{726, 0.338900}
{727, 0.338899}
{728, 0.338899}
{729, 0.338898}
{730, 0.338898}
{731, 0.338897}
{732, 0.338895}
{733, 0.338894}
{734, 0.338888}
{735, 0.338887}
{736, 0.338880}
{737, 0.338875}
{738, 0.338875}
{739, 0.338874}
{740, 0.338872}
{741, 0.338868}
{742, 0.338857}
{743, 0.338854}
{744, 0.338854}
{745, 0.338849}
{746, 0.338846}
{747, 0.338842}
{748, 0.338839}
{749, 0.338839}
{750, 0.338837}
{751, 0.338834}
{752, 0.338833}
{753, 0.338813}
{754, 0.338794}
{755, 0.338794}
{756, 0.338785}
{757, 0.338785}
{758, 0.338780}
{759, 0.338779}
{760, 0.338777}
{761, 0.338776}
{762, 0.338713}
{763, 0.338713}
{764, 0.338713}
{765, 0.338711}
{766, 0.338710}
{767, 0.338710}
{768, 0.338706}
{769, 0.338705}
{770, 0.338705}
{771, 0.338701}
{772, 0.338700}
{773, 0.338697}
{774, 0.338692}
{775, 0.338690}
{776, 0.338689}
{777, 0.338688}
{778, 0.338686}
{779, 0.338651}
{780, 0.338638}
{781, 0.338635}
{782, 0.338626}
{783, 0.338617}
{784, 0.338615}
{785, 0.338607}
{786, 0.338606}
{787, 0.338600}
{788, 0.338553}
{789, 0.338547}
{790, 0.338543}
{791, 0.338543}
{792, 0.338541}
{793, 0.338541}
{794, 0.338540}
{795, 0.338539}
{796, 0.338516}
{797, 0.338516}
{798, 0.338514}
{799, 0.338511}
{800, 0.338510}
{801, 0.338491}
{802, 0.338489}
{803, 0.338489}
{804, 0.338489}
{805, 0.338468}
{806, 0.338466}
{807, 0.338465}
{808, 0.338460}
{809, 0.338445}
{810, 0.338433}
{811, 0.338431}
{812, 0.338430}
{813, 0.338420}
{814, 0.338420}
{815, 0.338418}
{816, 0.338416}
{817, 0.338416}
{818, 0.338406}
{819, 0.338406}
{820, 0.338399}
{821, 0.338399}
{822, 0.338398}
{823, 0.338397}
{824, 0.338393}
{825, 0.338353}
{826, 0.338350}
{827, 0.338350}
{828, 0.338345}
{829, 0.338345}
{830, 0.338345}
{831, 0.338338}
{832, 0.338337}
{833, 0.338336}
{834, 0.338332}
{835, 0.338329}
{836, 0.338328}
{837, 0.338320}
{838, 0.338319}
{839, 0.338315}
{840, 0.338314}
{841, 0.338303}
{842, 0.338297}
{843, 0.338297}
{844, 0.338294}
{845, 0.338292}
{846, 0.338291}
{847, 0.338277}
{848, 0.338277}
{849, 0.338274}
{850, 0.338251}
{851, 0.338229}
{852, 0.338219}
{853, 0.338219}
{854, 0.338212}
{855, 0.338204}
{856, 0.338203}
{857, 0.338202}
{858, 0.338201}
{859, 0.338190}
{860, 0.338188}
{861, 0.338183}
{862, 0.338182}
{863, 0.338179}
{864, 0.338169}
{865, 0.338169}
{866, 0.338167}
{867, 0.338167}
{868, 0.338167}
{869, 0.338167}
{870, 0.338166}
{871, 0.338153}
{872, 0.338151}
{873, 0.338151}
{874, 0.338141}
{875, 0.338139}
{876, 0.338138}
{877, 0.338138}
{878, 0.338130}
{879, 0.338128}
{880, 0.338126}
{881, 0.338070}
{882, 0.338069}
{883, 0.338067}
{884, 0.338067}
{885, 0.338051}
{886, 0.337998}
{887, 0.337980}
{888, 0.337980}
{889, 0.337975}
{890, 0.337975}
{891, 0.337974}
{892, 0.337973}
{893, 0.337965}
{894, 0.337959}
{895, 0.337958}
{896, 0.337951}
{897, 0.337949}
{898, 0.337948}
{899, 0.337946}
{900, 0.337941}
{901, 0.337941}
{902, 0.337938}
{903, 0.337938}
{904, 0.337937}
{905, 0.337936}
{906, 0.337936}
{907, 0.337929}
{908, 0.337929}
{909, 0.337928}
{910, 0.337928}
{911, 0.337901}
{912, 0.337889}
{913, 0.337889}
{914, 0.337880}
{915, 0.337868}
{916, 0.337867}
{917, 0.337866}
{918, 0.337866}
{919, 0.337862}
{920, 0.337851}
{921, 0.337847}
{922, 0.337847}
{923, 0.337846}
{924, 0.337827}
{925, 0.337823}
{926, 0.337823}
{927, 0.337820}
{928, 0.337820}
{929, 0.337817}
{930, 0.337815}
{931, 0.337808}
{932, 0.337807}
{933, 0.337804}
{934, 0.337796}
{935, 0.337792}
{936, 0.337785}
{937, 0.337781}
